no_results_Ranked	c_name	l_name	no_results	query	kw
1.0	Taiwan	Chinese (Traditional)	4350000	永續發展目標	3
2.0	China	Chinese (Simplified)	1910000	可持续发展目标	2
3.0	Thailand	Thai	1170000	เป้าหมายของการพัฒนาที่ยั่งยืน	2
4.0	United States	English	1110000	SDG	1
5.0	Japan	Japanese	1100000	持続可能な開発目標	2
6.0	United Kingdom	English	983000	SDG	1
7.0	United States	English	892000	Sustainable Development Goals	2
8.0	Taiwan	Chinese (Traditional)	730000	可持續發展目標	2
9.0	France	French	631000	Objectifs de développement durable	2
10.0	Indonesia	Indonesian	620000	SDG	1
11.0	Russia	Russian	496000	SDG	1
12.0	France	French	460000	SDG	1
13.0	Ukraine	Russian	423000	SDG	1
14.5	Japan	Japanese	414000	SDG	1
14.5	China	Chinese (Simplified)	414000	SDG	1
16.0	Germany	German	395000	SDG	1
17.0	Laos	Lao	353000	SDG	1
18.0	Lithuania	Lithuanian	350000	SDG	1
20.5	India	Marathi	346000	SDG	1
20.5	India	Tamil	346000	SDG	1
20.5	India	Bengali	346000	SDG	1
20.5	India	Nepali	346000	SDG	1
23.0	Hong Kong SAR China	Chinese (Traditional)	323000	可持續發展目標	2
24.0	Vietnam	Vietnamese	321000	Mục tiêu phát triển bền vững	2
25.0	United States	Spanish	318000	Objetivos de Desarrollo Sostenible	2
